0,1,2,3,4,5,6
cookies,potatoes,pepper,,,,
butter,soap,pepper,chocolate,flour,chicken,
beef,cookies,shampoo,,,,
sugar,chocolate,tea,milk,apples,bananas,
cookies,potatoes,milk,juice,apples,,
chicken,onions,toothpaste,,,,
bananas,rice,pepper,onions,shampoo,tomatoes,
tomatoes,milk,coffee,apples,pasta,,
butter,salt,tomatoes,,,,
chocolate,tea,,,,,
eggs,yogurt,juice,beef,tomatoes,bananas,milk
shampoo,bananas,,,,,
chocolate,soap,salt,rice,coffee,pasta,tomatoes
butter,pepper,,,,,
tomatoes,chocolate,coffee,beef,apples,,
carrots,tomatoes,bananas,beef,coffee,rice,cereal
coffee,carrots,yogurt,bananas,flour,pepper,
butter,shampoo,milk,yogurt,toothpaste,,
oil,cereal,potatoes,rice,,,
tea,rice,chicken,juice,,,
sugar,cereal,tomatoes,soap,,,
salt,chocolate,beef,tea,,,
tomatoes,apples,,,,,
tea,chicken,potatoes,pepper,chocolate,flour,coffee
shampoo,soap,,,,,
soap,salt,coffee,cereal,sugar,flour,apples
bananas,apples,eggs,carrots,cookies,flour,
coffee,eggs,,,,,
shampoo,tomatoes,,,,,
chocolate,juice,tea,milk,flour,sugar,soap
chocolate,sugar,oil,cheese,shampoo,yogurt,
carrots,tomatoes,,,,,
tea,yogurt,oil,potatoes,shampoo,coffee,
soap,coffee,oil,yogurt,,,
rice,tea,,,,,
salt,pepper,oil,butter,,,
potatoes,juice,,,,,
tea,oil,,,,,
coffee,eggs,pepper,,,,
butter,bread,,,,,
toothpaste,cheese,,,,,
chicken,soap,tea,beef,,,
onions,cheese,juice,beef,cookies,,
beef,shampoo,chicken,soap,cheese,bread,
pasta,pepper,,,,,
pasta,rice,soap,milk,oil,,
toothpaste,yogurt,apples,bananas,tea,beef,
pasta,tea,cereal,,,,
milk,pepper,rice,,,,
tomatoes,cookies,onions,chocolate,butter,,
pasta,rice,cheese,,,,
cookies,oil,chocolate,butter,pasta,milk,
potatoes,flour,cookies,butter,oil,pepper,
bread,tea,eggs,,,,
toothpaste,shampoo,,,,,
apples,yogurt,butter,sugar,,,
soap,beef,eggs,bread,milk,apples,tea
soap,beef,butter,cookies,chicken,,
oil,shampoo,chocolate,tomatoes,,,
milk,flour,juice,apples,potatoes,,
rice,bread,yogurt,pepper,salt,,
pasta,salt,tomatoes,beef,carrots,,
soap,toothpaste,eggs,beef,chocolate,,
cereal,cookies,milk,beef,juice,yogurt,
onions,bread,apples,sugar,juice,,
oil,salt,cookies,tomatoes,carrots,,
chicken,apples,flour,chocolate,pasta,cereal,
cereal,chocolate,,,,,
soap,chicken,butter,juice,,,
coffee,soap,,,,,
butter,potatoes,salt,pepper,oil,,
pepper,yogurt,potatoes,salt,,,
oil,apples,tea,salt,,,
sugar,salt,apples,,,,
chicken,milk,butter,,,,
chicken,bananas,butter,apples,,,
coffee,bananas,eggs,milk,apples,potatoes,
pepper,carrots,,,,,
onions,chicken,coffee,yogurt,cereal,shampoo,tomatoes
flour,toothpaste,butter,cheese,yogurt,,
tomatoes,oil,juice,beef,cereal,potatoes,
beef,cookies,onions,pasta,,,
shampoo,eggs,yogurt,salt,cookies,coffee,chocolate
pepper,chocolate,carrots,coffee,beef,salt,rice
cereal,chocolate,toothpaste,rice,,,
juice,sugar,yogurt,eggs,salt,oil,coffee
bread,butter,tea,coffee,juice,,
yogurt,onions,bananas,cookies,,,
potatoes,yogurt,toothpaste,,,,
sugar,eggs,onions,beef,rice,carrots,
flour,eggs,tea,oil,tomatoes,,
pasta,beef,carrots,bananas,,,
toothpaste,oil,salt,,,,
bananas,yogurt,apples,pepper,beef,,
juice,tea,shampoo,bananas,yogurt,,
pepper,beef,cookies,bananas,butter,milk,
cheese,pasta,milk,cereal,chocolate,pepper,carrots
tomatoes,juice,potatoes,eggs,oil,salt,
soap,chocolate,onions,apples,flour,,
bananas,carrots,onions,potatoes,,,
coffee,onions,,,,,
chicken,potatoes,rice,beef,onions,apples,pepper
oil,milk,apples,pepper,tea,rice,juice
apples,salt,cookies,carrots,,,
beef,eggs,cheese,,,,
chicken,beef,rice,salt,bananas,,
salt,soap,flour,,,,
yogurt,bananas,cookies,,,,
cookies,beef,tomatoes,salt,cereal,milk,
onions,chocolate,soap,sugar,flour,juice,pepper
onions,cheese,cookies,potatoes,bread,toothpaste,tea
bread,soap,cereal,,,,
beef,flour,cookies,pepper,,,
cheese,tomatoes,toothpaste,milk,,,
flour,rice,,,,,
yogurt,milk,butter,juice,cookies,,
bananas,chicken,,,,,
cheese,oil,chocolate,,,,
pepper,cheese,,,,,
oil,pepper,bananas,,,,
potatoes,sugar,beef,,,,
eggs,cookies,pasta,,,,
apples,chocolate,pasta,,,,
eggs,chocolate,potatoes,shampoo,,,
pasta,carrots,shampoo,milk,,,
chocolate,sugar,,,,,
milk,apples,flour,potatoes,cheese,cookies,
pasta,eggs,pepper,,,,
onions,flour,coffee,toothpaste,tea,carrots,
sugar,tomatoes,toothpaste,bread,onions,juice,
salt,rice,bread,,,,
oil,chocolate,shampoo,tomatoes,yogurt,coffee,cookies
pasta,potatoes,cereal,,,,
juice,soap,cheese,onions,cereal,,
shampoo,pepper,chocolate,carrots,cookies,onions,
salt,beef,chicken,,,,
yogurt,oil,,,,,
soap,rice,,,,,
salt,chicken,sugar,bananas,,,
chicken,rice,toothpaste,,,,
beef,sugar,toothpaste,chocolate,milk,juice,apples
sugar,carrots,onions,bread,apples,pasta,coffee
chocolate,carrots,butter,potatoes,,,
cookies,rice,onions,pepper,bananas,,
yogurt,onions,cereal,pepper,,,
toothpaste,rice,eggs,carrots,,,
chocolate,cereal,tea,,,,
flour,shampoo,pepper,onions,milk,,
apples,coffee,chicken,shampoo,onions,,
onions,pasta,pepper,coffee,cheese,,
coffee,tomatoes,chocolate,bread,,,
salt,yogurt,pepper,bananas,toothpaste,,
flour,butter,chicken,potatoes,oil,,
cereal,tea,pasta,,,,
flour,pasta,,,,,
pasta,shampoo,chocolate,cereal,soap,,
tea,yogurt,carrots,rice,,,
eggs,bread,pepper,beef,tomatoes,potatoes,chicken
cheese,sugar,,,,,
cereal,juice,,,,,
apples,cookies,sugar,coffee,chocolate,juice,
eggs,chicken,pasta,toothpaste,bananas,oil,
soap,onions,,,,,
chocolate,butter,carrots,rice,shampoo,,
bananas,shampoo,pasta,cheese,,,
beef,tomatoes,cookies,,,,
tea,yogurt,salt,juice,potatoes,pasta,
coffee,bananas,,,,,
cookies,potatoes,coffee,pepper,apples,toothpaste,bananas
carrots,rice,potatoes,tea,,,
cereal,flour,sugar,,,,
salt,toothpaste,shampoo,,,,
tea,potatoes,cookies,carrots,butter,shampoo,chocolate
soap,carrots,,,,,
yogurt,salt,cereal,,,,
tomatoes,tea,potatoes,bread,flour,pepper,
soap,coffee,salt,tea,butter,juice,potatoes
cheese,cereal,pasta,yogurt,chicken,,
butter,cereal,bread,,,,
beef,eggs,toothpaste,carrots,potatoes,,
yogurt,sugar,carrots,,,,
chicken,pepper,apples,toothpaste,,,
cookies,salt,flour,,,,
juice,milk,soap,butter,oil,bread,apples
chocolate,apples,cheese,,,,
chicken,carrots,onions,apples,bananas,,
soap,yogurt,,,,,
juice,onions,chocolate,bread,,,
juice,milk,onions,,,,
butter,shampoo,coffee,,,,
sugar,bananas,cookies,tea,yogurt,,
salt,juice,chicken,rice,potatoes,coffee,cereal
juice,bananas,salt,,,,
shampoo,juice,sugar,cereal,eggs,pasta,cookies
shampoo,chicken,cheese,,,,
cookies,eggs,,,,,
butter,chocolate,pasta,chicken,cheese,tea,coffee
sugar,pepper,,,,,
pasta,carrots,,,,,
chicken,soap,pepper,toothpaste,tomatoes,,
tea,cookies,beef,chicken,rice,flour,
oil,juice,bread,yogurt,pasta,milk,potatoes
toothpaste,yogurt,rice,,,,
chocolate,tomatoes,cookies,bread,potatoes,juice,
cookies,butter,,,,,
flour,cheese,sugar,butter,cereal,,
soap,cheese,pasta,beef,cereal,,
chicken,beef,,,,,
shampoo,rice,bananas,,,,
toothpaste,rice,cereal,carrots,pepper,,
beef,soap,juice,tomatoes,apples,bread,rice
cookies,eggs,flour,milk,,,
cheese,onions,toothpaste,,,,
juice,carrots,chicken,,,,
yogurt,coffee,tomatoes,juice,apples,oil,tea
salt,beef,rice,shampoo,,,
milk,pasta,,,,,
toothpaste,bread,coffee,,,,
sugar,pasta,eggs,cookies,milk,tomatoes,bananas
butter,cereal,chocolate,pasta,,,
soap,chicken,chocolate,tea,,,
shampoo,pepper,yogurt,,,,
coffee,juice,onions,shampoo,bread,beef,
cookies,yogurt,apples,potatoes,rice,butter,pepper
carrots,bananas,onions,rice,sugar,tea,
yogurt,bananas,milk,shampoo,,,
milk,tea,,,,,
bananas,carrots,,,,,
coffee,beef,juice,sugar,,,
carrots,chocolate,eggs,beef,juice,,
potatoes,toothpaste,shampoo,eggs,bananas,,
apples,flour,beef,,,,
flour,eggs,apples,rice,,,
shampoo,cereal,bananas,,,,
potatoes,flour,shampoo,,,,
soap,carrots,chocolate,butter,coffee,sugar,
onions,chicken,,,,,
sugar,chicken,,,,,
salt,bread,tea,chocolate,carrots,,
tomatoes,oil,flour,sugar,rice,,
pepper,onions,juice,carrots,yogurt,,
chocolate,sugar,bread,tomatoes,beef,toothpaste,juice
apples,rice,soap,onions,,,
pasta,potatoes,cookies,rice,shampoo,,
apples,pepper,butter,oil,onions,,
yogurt,cereal,beef,flour,,,
eggs,chocolate,coffee,,,,
rice,cheese,oil,carrots,,,
oil,tomatoes,yogurt,,,,
potatoes,carrots,tomatoes,yogurt,pasta,,
milk,bananas,soap,apples,,,
oil,shampoo,,,,,
tomatoes,cookies,,,,,
onions,oil,potatoes,toothpaste,bread,tea,eggs
onions,rice,cheese,milk,tea,chocolate,eggs
shampoo,milk,coffee,flour,rice,,
chicken,pasta,tea,rice,,,
coffee,flour,yogurt,,,,
shampoo,bananas,butter,,,,
tomatoes,sugar,bread,,,,
tea,bread,,,,,
tomatoes,cookies,pasta,sugar,,,
yogurt,cheese,cereal,salt,cookies,shampoo,eggs
bread,beef,rice,onions,shampoo,bananas,
bananas,salt,cereal,yogurt,oil,,
eggs,onions,potatoes,carrots,oil,,
juice,coffee,butter,,,,
rice,yogurt,oil,tea,,,
chicken,potatoes,,,,,
toothpaste,salt,flour,pepper,sugar,yogurt,pasta
flour,sugar,soap,butter,,,
shampoo,coffee,milk,soap,yogurt,apples,
bread,coffee,chicken,sugar,,,
cheese,tea,yogurt,cereal,,,
chocolate,chicken,onions,toothpaste,,,
carrots,juice,bananas,,,,
beef,onions,oil,shampoo,,,
coffee,beef,,,,,
sugar,milk,butter,,,,
chicken,toothpaste,cheese,bread,,,
bananas,pasta,chicken,cheese,,,
rice,pepper,cookies,yogurt,potatoes,,
juice,soap,eggs,,,,
yogurt,rice,salt,cookies,bread,tomatoes,eggs
juice,soap,bread,rice,apples,coffee,potatoes
salt,chicken,rice,flour,,,
beef,sugar,cereal,rice,potatoes,shampoo,apples
apples,potatoes,,,,,
beef,oil,tomatoes,sugar,cookies,cereal,
butter,flour,yogurt,milk,cereal,,
toothpaste,chocolate,pasta,,,,
cereal,soap,potatoes,cheese,,,
tomatoes,sugar,juice,chicken,pasta,,
cookies,beef,butter,sugar,pasta,,
cookies,bananas,butter,oil,onions,carrots,chocolate
butter,juice,milk,bananas,tomatoes,eggs,potatoes
yogurt,sugar,toothpaste,pasta,butter,,
tomatoes,flour,yogurt,,,,
oil,pasta,chicken,,,,
milk,salt,rice,flour,,,
rice,bananas,carrots,sugar,butter,bread,
yogurt,oil,bananas,soap,chocolate,,
pasta,eggs,butter,,,,
cheese,salt,shampoo,pepper,apples,toothpaste,sugar
cookies,beef,bananas,eggs,coffee,onions,
cereal,pepper,butter,cookies,bread,yogurt,
oil,cheese,pasta,milk,,,
potatoes,bananas,oil,pasta,toothpaste,coffee,bread
flour,eggs,chocolate,juice,,,
pasta,cookies,,,,,
toothpaste,tea,oil,,,,
chocolate,cereal,butter,milk,,,
oil,shampoo,beef,chocolate,flour,,
bread,chicken,chocolate,cheese,oil,tomatoes,
cheese,cookies,toothpaste,cereal,flour,,
apples,soap,beef,flour,coffee,shampoo,rice
coffee,pasta,bread,sugar,yogurt,,
eggs,apples,flour,bread,,,
milk,sugar,potatoes,toothpaste,flour,cookies,yogurt
coffee,flour,salt,bananas,apples,tea,yogurt
chocolate,cereal,,,,,
beef,juice,butter,tomatoes,chocolate,,
flour,soap,cheese,sugar,cereal,bananas,toothpaste
toothpaste,sugar,cookies,onions,chocolate,tomatoes,
cheese,oil,flour,potatoes,carrots,pepper,
cheese,cereal,,,,,
bananas,yogurt,cereal,carrots,toothpaste,,
oil,butter,tomatoes,rice,pasta,,
bananas,cereal,pepper,,,,
salt,carrots,pasta,beef,potatoes,butter,
tea,toothpaste,onions,,,,
flour,milk,chicken,,,,
carrots,beef,cookies,bananas,cereal,,
flour,cookies,,,,,
pepper,bananas,,,,,
chicken,pepper,pasta,sugar,potatoes,,
coffee,milk,bananas,chocolate,shampoo,yogurt,cereal
chocolate,carrots,cheese,,,,
apples,chicken,,,,,
coffee,potatoes,bananas,,,,
rice,eggs,onions,tea,,,
soap,coffee,eggs,tomatoes,apples,,
shampoo,coffee,juice,toothpaste,chicken,pasta,
bananas,toothpaste,coffee,cookies,cheese,,
yogurt,onions,pepper,,,,
rice,apples,shampoo,milk,bananas,,
yogurt,cheese,toothpaste,butter,sugar,,
pepper,cheese,potatoes,flour,tea,toothpaste,
chocolate,eggs,salt,apples,,,
flour,carrots,beef,pasta,,,
cheese,cereal,toothpaste,sugar,potatoes,eggs,
sugar,cereal,apples,yogurt,potatoes,onions,
tea,toothpaste,tomatoes,,,,
flour,potatoes,soap,,,,
toothpaste,eggs,juice,,,,
sugar,shampoo,salt,pasta,,,
tomatoes,flour,yogurt,toothpaste,onions,chocolate,sugar
bread,pasta,toothpaste,coffee,,,
cookies,onions,tea,chicken,flour,,
milk,butter,rice,,,,
apples,pepper,onions,salt,oil,tomatoes,
potatoes,flour,onions,sugar,,,
pepper,tomatoes,cereal,eggs,soap,shampoo,carrots
apples,pasta,soap,,,,
soap,cookies,tomatoes,,,,
tomatoes,eggs,butter,chocolate,beef,,
juice,bananas,apples,sugar,onions,carrots,cookies
oil,juice,rice,carrots,cookies,,
rice,flour,tomatoes,,,,
potatoes,salt,,,,,
cookies,rice,toothpaste,pasta,oil,chocolate,
salt,juice,milk,onions,cookies,bananas,yogurt
chicken,flour,onions,,,,
chicken,apples,sugar,,,,
oil,eggs,rice,tea,,,
shampoo,tomatoes,potatoes,milk,carrots,,
onions,beef,tomatoes,salt,cookies,,
butter,potatoes,chocolate,cheese,apples,carrots,pasta
butter,eggs,pasta,potatoes,rice,tea,
onions,tomatoes,chicken,tea,,,
apples,tomatoes,soap,shampoo,tea,flour,milk
carrots,pepper,tomatoes,salt,soap,,
toothpaste,milk,carrots,chicken,rice,,
onions,tea,pepper,salt,chicken,oil,apples
chicken,salt,eggs,,,,
cheese,pasta,carrots,cereal,tomatoes,apples,
tea,toothpaste,soap,yogurt,cheese,butter,
tea,pepper,butter,cookies,chocolate,chicken,beef
shampoo,cookies,chocolate,,,,
rice,bread,eggs,potatoes,cereal,pepper,cookies
chocolate,rice,,,,,
chocolate,milk,carrots,cereal,oil,bread,cookies
cereal,carrots,tomatoes,butter,salt,bread,
flour,sugar,butter,eggs,pasta,soap,carrots
eggs,pepper,pasta,,,,
carrots,chocolate,onions,milk,bananas,,
cheese,potatoes,tomatoes,pasta,butter,,
cookies,chocolate,sugar,,,,
toothpaste,sugar,shampoo,chicken,,,
flour,soap,pepper,,,,
cookies,pepper,pasta,toothpaste,,,
salt,beef,sugar,rice,chicken,toothpaste,tomatoes
yogurt,tomatoes,soap,toothpaste,apples,bananas,
butter,soap,,,,,
chicken,coffee,milk,carrots,sugar,chocolate,yogurt
toothpaste,flour,tomatoes,shampoo,juice,yogurt,
onions,oil,cookies,,,,
beef,pepper,salt,bread,,,
tea,salt,coffee,,,,
tomatoes,soap,flour,cheese,toothpaste,,
potatoes,yogurt,onions,flour,,,
chicken,toothpaste,coffee,pasta,tea,sugar,
butter,coffee,bananas,,,,
cheese,butter,carrots,eggs,potatoes,,
flour,juice,,,,,
cheese,tea,coffee,sugar,soap,,
milk,chocolate,flour,bread,salt,butter,cereal
pasta,milk,carrots,onions,,,
eggs,apples,toothpaste,cookies,oil,yogurt,
cereal,chicken,oil,,,,
cereal,coffee,bananas,carrots,juice,,
coffee,onions,cereal,chicken,flour,,
oil,onions,tomatoes,beef,,,
salt,toothpaste,,,,,
bread,soap,cookies,butter,toothpaste,,
pepper,apples,juice,cookies,tea,,
soap,bananas,flour,chocolate,tomatoes,,
carrots,coffee,salt,shampoo,sugar,soap,
chocolate,carrots,bread,milk,butter,juice,
chicken,rice,,,,,
cookies,cereal,potatoes,pasta,shampoo,milk,
coffee,chocolate,onions,bread,pasta,,
milk,yogurt,tea,,,,
cookies,tea,rice,apples,butter,,
pepper,coffee,onions,eggs,cereal,oil,chicken
yogurt,rice,bananas,cereal,,,
flour,carrots,pasta,butter,cereal,juice,tea
juice,eggs,coffee,yogurt,,,
cereal,juice,cheese,,,,
chocolate,bananas,,,,,
yogurt,cereal,rice,beef,,,
juice,pepper,,,,,
sugar,tea,cheese,,,,
juice,sugar,soap,,,,
cookies,eggs,butter,apples,,,
oil,yogurt,cookies,toothpaste,salt,,
coffee,yogurt,beef,,,,
salt,tomatoes,onions,,,,
cheese,chocolate,bananas,tomatoes,bread,,
bread,juice,milk,coffee,potatoes,apples,chicken
bread,oil,,,,,
pasta,chocolate,cereal,,,,
potatoes,coffee,pepper,flour,butter,yogurt,
carrots,toothpaste,apples,milk,potatoes,pepper,butter
butter,apples,salt,juice,coffee,chicken,
yogurt,onions,rice,cheese,oil,sugar,butter
chicken,cereal,bananas,bread,,,
milk,rice,chicken,salt,bananas,,
rice,bread,shampoo,pasta,sugar,chocolate,
oil,salt,cheese,cereal,toothpaste,apples,pasta
bananas,pasta,onions,carrots,yogurt,chocolate,
milk,tomatoes,chicken,oil,onions,beef,tea
oil,salt,toothpaste,apples,chocolate,milk,
sugar,bananas,oil,soap,,,
pepper,sugar,bananas,toothpaste,,,
bananas,beef,,,,,
sugar,bananas,beef,carrots,,,
salt,pepper,chocolate,pasta,eggs,potatoes,rice
soap,apples,pasta,oil,toothpaste,,
salt,potatoes,,,,,
onions,milk,soap,,,,
chocolate,pepper,cookies,tomatoes,tea,bread,
toothpaste,bananas,chocolate,tea,rice,carrots,apples
beef,chocolate,cereal,chicken,rice,bread,apples
salt,carrots,,,,,
apples,toothpaste,cheese,pepper,yogurt,,
cookies,beef,onions,sugar,,,
cheese,tea,,,,,
bread,cheese,,,,,
milk,cookies,salt,carrots,coffee,toothpaste,tea
apples,chocolate,pepper,butter,shampoo,beef,
tomatoes,potatoes,shampoo,chocolate,,,
toothpaste,chocolate,beef,sugar,,,
carrots,apples,pepper,bread,tea,salt,flour
shampoo,toothpaste,onions,cheese,cereal,bananas,
chicken,coffee,beef,eggs,milk,chocolate,rice
milk,cereal,,,,,
pasta,bananas,,,,,
carrots,sugar,bananas,toothpaste,beef,,
potatoes,milk,yogurt,onions,tea,juice,toothpaste
juice,cookies,,,,,
coffee,beef,,,,,
cookies,pasta,yogurt,toothpaste,cheese,onions,
bananas,pepper,eggs,cereal,oil,butter,
pepper,carrots,onions,cereal,chocolate,apples,chicken
chicken,flour,onions,butter,apples,coffee,
pepper,eggs,bread,,,,
tomatoes,pepper,sugar,butter,,,
tea,onions,salt,,,,
coffee,beef,milk,tomatoes,,,
coffee,bread,,,,,
cereal,potatoes,tea,toothpaste,rice,cheese,
carrots,soap,,,,,
oil,chicken,coffee,,,,
chicken,onions,cookies,,,,
cereal,beef,eggs,pasta,,,
bread,sugar,coffee,yogurt,tomatoes,flour,soap
sugar,bananas,chicken,,,,
tomatoes,beef,oil,,,,
tomatoes,beef,,,,,
chicken,shampoo,bananas,salt,pasta,,
butter,salt,sugar,,,,
toothpaste,carrots,onions,tomatoes,tea,,
chicken,rice,beef,coffee,,,
eggs,soap,pasta,rice,flour,chocolate,juice
eggs,shampoo,milk,,,,
carrots,yogurt,cookies,bread,coffee,chicken,
juice,toothpaste,,,,,
flour,bread,sugar,,,,
apples,beef,,,,,
juice,cookies,tomatoes,beef,chicken,apples,
soap,milk,onions,sugar,bananas,yogurt,eggs
cheese,flour,tea,butter,chicken,,
cookies,coffee,tomatoes,soap,oil,,
flour,butter,potatoes,salt,juice,chicken,
cheese,salt,,,,,
chocolate,milk,carrots,,,,
cookies,chocolate,,,,,
beef,apples,salt,,,,
chicken,juice,soap,pasta,,,
butter,beef,onions,coffee,tomatoes,yogurt,
cereal,carrots,milk,chocolate,juice,toothpaste,potatoes
soap,oil,tea,milk,pasta,pepper,
beef,cookies,pasta,butter,,,
chicken,bread,soap,shampoo,cheese,apples,
juice,cookies,cheese,pasta,carrots,,
eggs,flour,chocolate,tomatoes,beef,cereal,bread
beef,onions,butter,soap,,,
apples,cheese,bananas,sugar,,,
carrots,coffee,oil,yogurt,eggs,butter,
pasta,butter,oil,pepper,flour,shampoo,tea
rice,tomatoes,juice,pepper,,,
carrots,salt,pepper,rice,potatoes,,
tomatoes,juice,milk,onions,salt,cookies,
chicken,pepper,eggs,,,,
eggs,tea,chocolate,coffee,cookies,,
